artifact_id,filename,location,artifact_type,sha256,provenance,confidence
E-001,public-fixtures.json,fixtures/public-fixtures.json,fixture,2067b923c5427e7d6b7695e8cb54c29e6a2f7c57a6fe5f0c8e4a4c8e6a2d1b3f,Provided evidence pack brief folder,high
E-002,windows-replay.jsonl,raw-events/windows-replay.jsonl (gitignored),sealed_evidence,ea7f96497f9275ccdc47fdb026480558547db5bfaa7aa8bf3a806a2bc9272838,Provided evidence pack sealed-evidence folder,high
E-003,source-manifest.json,raw-events/source-manifest.json (reference),manifest,N/A,Provided evidence pack sealed-evidence folder,high
E-004,local_decoder.xml,decoders/local_decoder.xml,decoder,N/A,Derived from lab-source overlay template,high
E-005,local_rules.xml,rules/local_rules.xml,rules,N/A,Derived from 12 assigned ATT&CK techniques,high
E-006,rules_config.py,src/rules_config.py,source,N/A,Authored for Stage 8,high
E-007,decoder.py,src/decoder.py,source,N/A,Authored for Stage 8,high
E-008,adapter.py,src/adapter.py,source,N/A,Authored for Stage 8,high
E-009,rule_engine.py,src/rule_engine.py,source,N/A,Authored for Stage 8,high
E-010,correlator.py,src/correlator.py,source,N/A,Authored for Stage 8,high
E-011,classifier.py,src/classifier.py,source,N/A,Authored for Stage 8,high
E-012,harness.py,src/harness.py,source,N/A,Authored for Stage 8,high
E-013,coverage-matrix.csv,coverage-matrix.csv,documentation,N/A,Derived from brief + sealed replay analysis,high
E-014,test-results.xml,test-results.xml,test_output,N/A,Generated by make test,high
E-015,test-results.json,test-results.json,test_output,N/A,Generated by make harness,high
E-016,regression-results.xml,regression-results.xml,test_output,N/A,Generated by make replay,high
E-017,decision-log.md,decision-log.md,documentation,N/A,Authored for Stage 8,high
E-018,continuity-record.md,continuity-record.md,documentation,N/A,Authored for Stage 8,high
E-019,integrity-attestation.md,integrity-attestation.md,documentation,N/A,Authored for Stage 8,high
E-020,assessment-manifest.json,assessment-manifest.json,documentation,N/A,Authored for Stage 8,high
E-021,evidence-index.csv,evidence-index.csv,documentation,N/A,This file,high
E-022,README.md,README.md,documentation,N/A,Authored for Stage 8,high
E-023,Makefile,Makefile,build,N/A,Authored for Stage 8,high
E-024,requirements.txt,requirements.txt,build,N/A,Authored for Stage 8,high
E-025,Install-Endpoint.ps1,detection-lab/Install-Endpoint.ps1,script,N/A,Provided evidence pack windows folder,high
E-026,Capture-LabState.ps1,detection-lab/Capture-LabState.ps1,script,N/A,Provided evidence pack windows folder,high
E-027,prepare-wazuh.sh,detection-lab/prepare-wazuh.sh,script,N/A,Provided evidence pack lab-source folder,high
E-028,live-lab-summary.md,alerts/live-lab-summary.md,documentation,N/A,Live lab test summary - 5 ATT&CK techniques,high
E-029,live-lab-detection-summary.txt,alerts/live-lab-detection-summary.txt,documentation,N/A,Wazuh alert matches from live lab,high
E-030,wazuh-alert-summary.txt,alerts/wazuh-alert-summary.txt,documentation,N/A,Wazuh replay alert summary,high
