Technique ID,Technique Name,Tactic,Rule ID(s),Sealed Replay Pattern,Public Fixtures,Atomic GUID,Test Host,Benign Control,Detection Approach
T1059.001,PowerShell,Execution,110200 + 110300,POWERSHELL.EXE←winword.exe|encoded_or_obfuscated,2 alerts (rundll32←explorer, cmd←config-agent),AtomicRedTeam T1059.001,NS-WIN-101,python3←winword|native,Shell/LOLBin from office/suspicious parent + non-native family
T1053.005,Scheduled Task/Job,Persistence,110201,None,0 fixtures,AtomicRedTeam T1053.005,NS-WIN-101,schtasks←explorer|native,schtasks/at from shell/system parent + non-native family
T1547.001,Registry Run Keys,Persistence,110202 + 110302,REG.EXE←cmd.exe|registry_run_key,0 fixtures,AtomicRedTeam T1547.001,NS-WIN-101,reg←explorer|native,reg/regedit from shell + registry_run_key family
T1003.001,LSASS Memory,Credential Access,110203 + 110301,RUNDLL32.EXE←powershell.exe|credential_access,3 alerts (regsvr32←services, cmd←winword, cmd←explorer),AtomicRedTeam T1003.001,NS-WIN-101,rundll32←services|native,LOLBin/shell from suspicious parent + credential_access/encoded family
T1087.001,Local Account Discovery,Discovery,110204,None,0 fixtures,AtomicRedTeam T1087.001,NS-WIN-101,net←explorer|native,net/whoami from shell/suspicious parent + non-native family
T1057,Process Discovery,Discovery,110205 + 110305,None,0 fixtures (9 benign use T1057 with non-discovery images),AtomicRedTeam T1057,NS-WIN-101,tasklist←explorer|native,tasklist/wmic from suspicious parent + non-native family
T1105,Ingress Tool Transfer,Command and Control,110206 + 110300,CERTUTIL.EXE←powershell.exe|download,1 alert (regsvr32←explorer),AtomicRedTeam T1105,NS-WIN-101,curl←explorer|native,certutil/bitsadmin from shell + download/encoded family
T1218.011,Rundll32,Defense Evasion,110207,RUNDLL32.EXE←powershell.exe|credential_access (shared),4 alerts (powershell←wmiprvse, cmd←config-agent, cmd←services, powershell←services),AtomicRedTeam T1218.011,NS-WIN-101,rundll32←explorer|native,LOLBin/shell from system/management parent + non-native family
T1059.003,Command Shell,Execution,110208,None,2 alerts (regsvr32←sccm-client, regsvr32←enterprise-updater),AtomicRedTeam T1059.003,NS-WIN-101,cmd←explorer|native,Shell/LOLBin from management/system parent + non-native family
T1136.001,Local Account Creation,Persistence,110209,None,0 fixtures,AtomicRedTeam T1136.001,NS-WIN-101,net←explorer|native,net/dsadd from shell/system parent + non-native family
T1555,Credentials from Password Stores,Credential Access,110210,None,0 fixtures,AtomicRedTeam T1555,NS-WIN-101,vaultcmd←explorer|native,vaultcmd/cmdkey/LOLBin from shell/system parent + non-native family
T1027,Obfuscated Files,Defense Evasion,110211 + 110304,None (matches all sealed replay attacks as secondary),0 fixtures,AtomicRedTeam T1027,NS-WIN-101,python3←explorer|native,Shell/LOLBin with encoded_or_obfuscated family from any suspicious parent
